loopIteration,time (us),axisP[0],axisP[1],axisP[2],axisI[0],axisI[1],axisI[2],axisD[0],axisD[1],axisF[0],axisF[1],axisF[2],rcCommand[0],rcCommand[1],rcCommand[2],rcCommand[3],setpoint[0],setpoint[1],setpoint[2],setpoint[3],vbatLatest (V),amperageLatest (A),BaroAlt,rssi,gyroADC[0] (deg/s),gyroADC[1] (deg/s),gyroADC[2] (deg/s),accSmooth[0] (g),accSmooth[1] (g),accSmooth[2] (g),motor[0],motor[1],motor[2],motor[3]
0,33011567,0,-2,0,0,0,0,0,-3,0,0,0,0,0,1,1000,0,0,0,0,24.59,0,279,774,0,1,0,-0.019,-0.0195,1.0039,158,183,159,183
1,33013646,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1000,0,0,0,0,24.59,0,279,774,0,0,0,-0.0195,-0.0171,1.0034,170,158,179,170
2,33015726,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1000,0,0,0,0,24.59,0,279,774,0,0,0,-0.019,-0.0176,1.0039,178,178,172,172
3,33017807,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1000,0,0,0,0,24.59,0,279,774,0,0,0,-0.0186,-0.0156,1.0044,167,165,170,171
256,33043646,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,1000,0,0,0,0,24.63,0.76,273,774,0,0,0,-0.0215,-0.0088,1.0015,169,165,161,157
